id_cliente,idade,nivel_educacao,geracao,possui_parceiro,qts_criancas,responde_campanha,salario_anual,salario_mensal,preferência,n_compras,ultima_compra,total_gasto,produto_mais_compra,,R,F,M,,R_SCORE,F_SCORE,M_SCORE,MÉDIA_F_M,SEGMENTAÇÃO
498,55,Grado o superior,Geração X,NÂO,1,NÃO,"$30.015,00","$2.501,25",loja física,5,2022-12-14,"$57,00",VINHO,,17,5,"$57,00",,4,1,1,1,Recém-Chegados
9347,69,Posgrado,Baby Boomers,SIM,1,NÃO,"$50.943,00","$4.245,25",loja física,4,2021-11-02,"$46,00",VINHO,,419,4,"$46,00",,1,1,1,1,Hibernando
9699,59,Grado o superior,Geração X,NÂO,1,NÃO,"$67.272,00","$5.606,00",loja física,18,2022-11-21,"$733,00",VINHO,,40,18,"$733,00",,4,4,3,"3,5",Leais de Ouro
10664,76,Posgrado,Baby Boomers,NÂO,1,NÃO,"$51.529,00","$4.294,08",loja online,14,2022-08-13,"$467,00",VINHO,,138,14,"$467,00",,2,3,3,3,Precisam de Atenção
5455,54,Posgrado,Geração X,SIM,1,NÃO,"$32.011,00","$2.667,58",loja física,6,2022-08-17,"$122,00",VINHO,,134,6,"$122,00",,2,2,2,2,Precisam de Atenção
456,39,Secundaria,Millennials,SIM,1,NÃO,"$7.500,00","$625,00",loja física,5,2022-02-03,"$36,00",FRUTAS,,328,5,"$36,00",,1,1,1,1,Hibernando
5012,36,Grado o superior,Millennials,SIM,1,NÃO,"$28.691,00","$2.390,92",loja física,4,2022-01-28,"$34,00",CARNES,,333,4,"$34,00",,1,1,1,1,Hibernando
7495,77,Posgrado,Baby Boomers,SIM,1,NÃO,"$56.223,00","$4.685,25",loja física,7,2022-12-13,"$156,00",VINHO,,18,7,"$156,00",,4,2,2,2,Potenciais de Ouro
10642,36,Grado o superior,Millennials,NÂO,1,NÃO,"$30.279,00","$2.523,25",loja física,4,2021-08-27,"$37,00",CARNES,,484,4,"$37,00",,1,1,1,1,Hibernando
2106,51,Secundaria,Geração X,SIM,0,NÃO,"$20.130,00","$1.677,50",loja física,4,2022-09-28,"$34,00",OUTROS,,93,4,"$34,00",,3,1,1,1,Hibernando
10364,66,Grado o superior,Baby Boomers,NÂO,0,NÃO,"$23.295,00","$1.941,25",loja física,3,2022-07-22,"$20,00",DOCES,,159,3,"$20,00",,2,1,1,1,Hibernando
5954,53,Posgrado,Geração X,NÂO,1,NÃO,"$42.618,00","$3.551,50",loja online,9,2022-09-28,"$192,00",VINHO,,93,9,"$192,00",,3,2,2,2,Promissores
1137,61,Grado o superior,Baby Boomers,NÂO,0,NÃO,"$81.246,00","$6.770,50",loja física,11,2022-10-18,"$1.379,00",CARNES,,73,11,"$1.379,00",,3,3,4,"3,5",Promissores
2541,49,Grado o superior,Geração X,SIM,1,NÃO,"$24.027,00","$2.002,25",loja física,5,2022-02-27,"$48,00",VINHO,,304,5,"$48,00",,1,1,1,1,Hibernando
1142,72,Posgrado,Baby Boomers,SIM,1,NÃO,"$55.707,00","$4.642,25",loja física,12,2022-12-11,"$428,00",VINHO,,20,12,"$428,00",,4,3,3,3,Potenciais de Ouro
2276,70,Grado o superior,Baby Boomers,NÂO,1,NÃO,"$57.959,00","$4.829,92",loja física,15,2022-09-16,"$868,00",VINHO,,105,15,"$868,00",,3,4,3,"3,5",Promissores
2807,56,Grado o superior,Geração X,SIM,1,NÃO,"$56.796,00","$4.733,00",loja online,15,2022-10-14,"$1.001,00",VINHO,,77,15,"$1.001,00",,3,4,3,"3,5",Promissores
6471,54,Posgrado,Geração X,NÂO,1,NÃO,"$36.230,00","$3.019,17",loja física,6,2022-09-13,"$59,00",CARNES,,108,6,"$59,00",,3,2,1,"1,5",Hibernando
6131,45,Secundaria,Geração X,SIM,2,NÃO,"$70.829,00","$5.902,42",loja física,12,2022-12-27,"$431,00",VINHO,,4,12,"$431,00",,4,3,3,3,Potenciais de Ouro
6233,49,Grado o superior,Geração X,SIM,1,NÃO,"$65.991,00","$5.499,25",loja física,19,2022-08-25,"$971,00",VINHO,,126,19,"$971,00",,3,4,3,"3,5",Promissores
4148,53,Grado o superior,Geração X,SIM,3,NÃO,"$38.988,00","$3.249,00",loja física,11,2022-11-17,"$348,00",VINHO,,44,11,"$348,00",,4,3,2,"2,5",Potenciais de Ouro
4947,59,Secundaria,Geração X,NÂO,0,SIM,"$89.572,00","$7.464,33",loja física,16,2022-03-28,"$2.059,00",CARNES,,273,16,"$2.059,00",,1,4,4,4,Precisam de Atenção
3225,41,Posgrado,Millennials,SIM,1,SIM,"$42.207,00","$3.517,25",loja física,9,2022-06-05,"$265,00",VINHO,,206,9,"$265,00",,2,2,2,2,Precisam de Atenção
7540,73,Grado o superior,Baby Boomers,SIM,1,NÃO,"$50.300,00","$4.191,67",loja física,10,2022-12-26,"$270,00",VINHO,,5,10,"$270,00",,4,2,2,2,Potenciais de Ouro
10648,43,Secundaria,Millennials,SIM,0,NÃO,"$66.664,00","$5.555,33",loja física,11,2022-08-26,"$1.289,00",CARNES,,125,11,"$1.289,00",,3,3,4,"3,5",Promissores
1992,61,Grado o superior,Baby Boomers,SIM,1,SIM,"$60.597,00","$5.049,75",loja física,10,2022-11-05,"$893,00",VINHO,,56,10,"$893,00",,3,2,3,"2,5",Promissores
7851,76,Grado o superior,Baby Boomers,NÂO,0,NÃO,"$70.165,00","$5.847,08",loja física,14,2022-10-13,"$926,00",CARNES,,78,14,"$926,00",,3,3,3,3,Promissores
8594,67,Posgrado,Baby Boomers,NÂO,1,NÃO,"$50.520,00","$4.210,00",loja online,6,2022-12-16,"$135,00",VINHO,,15,6,"$135,00",,4,2,2,2,Potenciais de Ouro
7059,62,Grado o superior,Baby Boomers,SIM,0,NÃO,"$80.124,00","$6.677,00",loja física,11,2022-12-18,"$1.495,00",VINHO,,13,11,"$1.495,00",,4,3,4,"3,5",Leais de Ouro
2815,50,Grado o superior,Geração X,SIM,1,NÃO,"$33.183,00","$2.765,25",loja online,7,2022-11-18,"$120,00",CARNES,,43,7,"$120,00",,4,2,2,2,Potenciais de Ouro
2416,56,Posgrado,Geração X,NÂO,0,NÃO,"$66.582,00","$5.548,50",loja física,11,2022-12-27,"$1.288,00",VINHO,,4,11,"$1.288,00",,4,3,4,"3,5",Leais de Ouro
7999,70,Posgrado,Baby Boomers,SIM,0,SIM,"$75.261,00","$6.271,75",loja online,10,2022-07-14,"$1.743,00",VINHO,,167,10,"$1.743,00",,2,2,4,3,Precisam de Atenção
9213,55,Grado o superior,Geração X,NÂO,1,NÃO,"$31.880,00","$2.656,67",loja física,3,2021-04-23,"$15,00",CARNES,,608,3,"$15,00",,1,1,1,1,Hibernando
9697,74,Grado o superior,Baby Boomers,SIM,2,NÃO,"$53.790,00","$4.482,50",loja física,15,2022-12-17,"$542,00",VINHO,,14,15,"$542,00",,4,4,3,"3,5",Leais de Ouro
3916,54,Posgrado,Geração X,SIM,1,NÃO,"$49.269,00","$4.105,75",loja física,19,2022-07-16,"$890,00",VINHO,,165,19,"$890,00",,2,4,3,"3,5",Precisam de Atenção
2021,50,Grado o superior,Geração X,SIM,1,NÃO,"$61.456,00","$5.121,33",loja física,19,2022-08-12,"$1.388,00",VINHO,,139,19,"$1.388,00",,2,4,4,4,Precisam de Atenção
1581,45,Grado o superior,Geração X,SIM,1,SIM,"$37.406,00","$3.117,17",loja física,3,2022-10-14,"$17,00",CARNES,,77,3,"$17,00",,3,1,1,1,Hibernando
564,44,Posgrado,Millennials,SIM,1,SIM,"$56.937,00","$4.744,75",loja física,17,2022-06-19,"$906,00",VINHO,,192,17,"$906,00",,2,4,3,"3,5",Precisam de Atenção
6619,47,Grado o superior,Geração X,SIM,2,NÃO,"$38.415,00","$3.201,25",loja física,4,2022-07-24,"$44,00",VINHO,,157,4,"$44,00",,2,1,1,1,Hibernando
9081,37,Grado o superior,Millennials,NÂO,1,NÃO,"$20.518,00","$1.709,83",loja física,3,2022-08-18,"$25,00",OUTROS,,133,3,"$25,00",,2,1,1,1,Hibernando
178,69,Grado o superior,Baby Boomers,SIM,1,NÃO,"$62.503,00","$5.208,58",loja física,19,2022-10-04,"$973,00",VINHO,,87,19,"$973,00",,3,4,3,"3,5",Promissores
916,53,Posgrado,Geração X,NÂO,2,NÃO,"$41.644,00","$3.470,33",loja física,4,2022-10-27,"$31,00",VINHO,,64,4,"$31,00",,3,1,1,1,Hibernando
5512,48,Posgrado,Geração X,SIM,1,NÃO,"$55.842,00","$4.653,50",loja física,15,2022-12-14,"$518,00",VINHO,,17,15,"$518,00",,4,4,3,"3,5",Leais de Ouro
8970,53,Posgrado,Geração X,SIM,1,NÃO,"$62.010,00","$5.167,50",loja física,13,2022-09-05,"$530,00",VINHO,,116,13,"$530,00",,3,3,3,3,Promissores
10581,48,Grado o superior,Geração X,SIM,1,NÃO,"$41.124,00","$3.427,00",loja online,11,2022-10-28,"$506,00",VINHO,,63,11,"$506,00",,3,3,3,3,Promissores
5300,52,Posgrado,Geração X,SIM,1,NÃO,"$38.961,00","$3.246,75",loja online,4,2022-12-21,"$70,00",OUTROS,,10,4,"$70,00",,4,1,2,"1,5",Recém-Chegados
5154,53,Posgrado,Geração X,NÂO,1,NÃO,"$37.760,00","$3.146,67",loja física,5,2022-06-10,"$54,00",VINHO,,201,5,"$54,00",,2,1,1,1,Hibernando
8346,51,Grado o superior,Geração X,NÂO,1,SIM,"$32.233,00","$2.686,08",loja online,8,2022-07-12,"$296,00",VINHO,,169,8,"$296,00",,2,2,2,2,Precisam de Atenção
1676,50,Grado o superior,Geração X,SIM,1,NÃO,"$43.057,00","$3.588,08",loja física,9,2022-09-25,"$266,00",VINHO,,96,9,"$266,00",,3,2,2,2,Promissores
9286,65,Posgrado,Baby Boomers,SIM,0,NÃO,"$83.151,00","$6.929,25",loja online,9,2022-03-28,"$747,00",VINHO,,273,9,"$747,00",,1,2,3,"2,5",Precisam de Atenção
2426,61,Posgrado,Baby Boomers,NÂO,0,SIM,"$78.825,00","$6.568,75",loja física,18,2022-03-13,"$895,00",VINHO,,288,18,"$895,00",,1,4,3,"3,5",Precisam de Atenção
5172,49,Posgrado,Geração X,SIM,1,NÃO,"$65.104,00","$5.425,33",loja física,10,2022-12-28,"$1.053,00",VINHO,,3,10,"$1.053,00",,4,2,4,3,Potenciais de Ouro
5562,51,Grado o superior,Geração X,SIM,1,NÃO,"$60.093,00","$5.007,75",loja física,17,2022-08-10,"$735,00",VINHO,,141,17,"$735,00",,2,4,3,"3,5",Precisam de Atenção
3436,56,Grado o superior,Geração X,SIM,1,NÃO,"$14.045,00","$1.170,42",loja física,4,2022-06-30,"$20,00",VINHO,,180,4,"$20,00",,2,1,1,1,Hibernando
3921,73,Secundaria,Baby Boomers,NÂO,0,NÃO,"$28.457,00","$2.371,42",loja online,8,2022-02-05,"$205,00",CARNES,,326,8,"$205,00",,1,2,2,2,Precisam de Atenção
3403,67,Posgrado,Baby Boomers,SIM,1,NÃO,"$78.952,00","$6.579,33",loja física,14,2022-04-29,"$2.092,00",VINHO,,242,14,"$2.092,00",,1,3,4,"3,5",Precisam de Atenção
22,49,Grado o superior,Geração X,NÂO,1,NÃO,"$46.310,00","$3.859,17",loja online,11,2022-05-20,"$309,00",VINHO,,221,11,"$309,00",,2,3,2,"2,5",Precisam de Atenção
10965,70,Grado o superior,Baby Boomers,SIM,0,NÃO,"$76.005,00","$6.333,75",loja física,16,2022-04-10,"$1.722,00",VINHO,,261,16,"$1.722,00",,1,4,4,4,Precisam de Atenção
9426,61,Posgrado,Baby Boomers,NÂO,1,NÃO,"$58.308,00","$4.859,00",loja física,5,2021-09-26,"$900,00",VINHO,,455,5,"$900,00",,1,1,3,2,Precisam de Atenção
6605,81,Posgrado,Pré-Boomers,NÂO,0,NÃO,"$55.614,00","$4.634,50",loja online,15,2022-11-03,"$682,00",VINHO,,58,15,"$682,00",,3,4,3,"3,5",Promissores
3136,63,Posgrado,Baby Boomers,NÂO,1,NÃO,"$59.432,00","$4.952,67",loja física,16,2022-06-25,"$663,00",VINHO,,186,16,"$663,00",,2,4,3,"3,5",Precisam de Atenção
8737,47,Grado o superior,Geração X,NÂO,1,NÃO,"$55.563,00","$4.630,25",loja física,5,2022-12-29,"$43,00",VINHO,,2,5,"$43,00",,4,1,1,1,Recém-Chegados
11088,54,Posgrado,Geração X,SIM,1,NÃO,"$78.642,00","$6.553,50",loja online,8,2022-04-03,"$1.816,00",VINHO,,268,8,"$1.816,00",,1,2,4,3,Precisam de Atenção
716,76,Posgrado,Baby Boomers,SIM,1,NÃO,"$67.911,00","$5.659,25",loja física,17,2022-12-16,"$976,00",VINHO,,15,17,"$976,00",,4,4,3,"3,5",Leais de Ouro
466,81,Grado o superior,Pré-Boomers,SIM,0,NÃO,"$65.275,00","$5.439,58",loja física,17,2022-08-04,"$746,00",VINHO,,147,17,"$746,00",,2,4,3,"3,5",Precisam de Atenção
9135,75,Grado o superior,Baby Boomers,SIM,2,NÃO,"$27.203,00","$2.266,92",loja física,3,2020-11-18,"$64,00",OUTROS,,763,3,"$64,00",,1,1,1,1,Hibernando
10623,64,Posgrado,Baby Boomers,SIM,1,NÃO,"$48.330,00","$4.027,50",loja física,4,2022-12-27,"$32,00",VINHO,,4,4,"$32,00",,4,1,1,1,Recém-Chegados
8151,35,Secundaria,Millennials,SIM,0,NÃO,"$24.279,00","$2.023,25",loja online,7,2022-06-18,"$263,00",OUTROS,,193,7,"$263,00",,2,2,2,2,Precisam de Atenção
5140,40,Posgrado,Millennials,SIM,1,NÃO,"$64.355,00","$5.362,92",loja física,16,2022-08-22,"$1.445,00",VINHO,,129,16,"$1.445,00",,3,4,4,4,Promissores
10160,69,Posgrado,Baby Boomers,SIM,1,NÃO,"$50.943,00","$4.245,25",loja física,4,2021-12-30,"$46,00",VINHO,,360,4,"$46,00",,1,1,1,1,Hibernando
4945,72,Grado o superior,Baby Boomers,NÂO,0,NÃO,"$53.653,00","$4.471,08",loja física,22,2022-05-22,"$1.210,00",VINHO,,219,22,"$1.210,00",,2,4,4,4,Precisam de Atenção
10584,49,Grado o superior,Geração X,SIM,1,NÃO,"$65.665,00","$5.472,08",loja física,13,2022-12-10,"$945,00",CARNES,,21,13,"$945,00",,4,3,3,3,Potenciais de Ouro
6071,36,Grado o superior,Millennials,NÂO,0,NÃO,"$81.217,00","$6.768,08",loja física,14,2022-11-18,"$1.157,00",VINHO,,43,14,"$1.157,00",,4,3,4,"3,5",Leais de Ouro
3386,33,Grado o superior,Millennials,SIM,0,NÃO,"$34.935,00","$2.911,25",loja física,6,2022-06-30,"$137,00",CARNES,,180,6,"$137,00",,2,2,2,2,Precisam de Atenção
8939,66,Grado o superior,Baby Boomers,NÂO,1,NÃO,"$61.250,00","$5.104,17",loja física,17,2022-03-06,"$730,00",VINHO,,295,17,"$730,00",,1,4,3,"3,5",Precisam de Atenção
9925,44,Posgrado,Millennials,SIM,1,NÃO,"$39.665,00","$3.305,42",loja online,7,2022-04-20,"$216,00",VINHO,,251,7,"$216,00",,1,2,2,2,Precisam de Atenção
4320,46,Grado o superior,Geração X,NÂO,1,NÃO,"$60.152,00","$5.012,67",loja física,18,2022-10-07,"$943,00",VINHO,,84,18,"$943,00",,3,4,3,"3,5",Promissores
5389,61,Grado o superior,Baby Boomers,SIM,2,NÃO,"$48.920,00","$4.076,67",loja online,11,2022-09-15,"$347,00",VINHO,,106,11,"$347,00",,3,3,2,"2,5",Promissores
6036,66,Posgrado,Baby Boomers,SIM,0,NÃO,"$89.120,00","$7.426,67",loja física,12,2022-12-24,"$1.924,00",VINHO,,7,12,"$1.924,00",,4,3,4,"3,5",Leais de Ouro
182,79,Posgrado,Baby Boomers,SIM,1,NÃO,"$44.124,00","$3.677,00",loja online,11,2022-10-11,"$397,00",VINHO,,80,11,"$397,00",,3,3,2,"2,5",Promissores
203,50,Posgrado,Geração X,NÂO,0,NÃO,"$81.169,00","$6.764,08",loja física,14,2022-10-05,"$2.089,00",VINHO,,86,14,"$2.089,00",,3,3,4,"3,5",Promissores
11025,64,Grado o superior,Baby Boomers,SIM,2,NÃO,"$36.443,00","$3.036,92",loja online,6,2022-09-12,"$138,00",VINHO,,109,6,"$138,00",,3,2,2,2,Promissores
10203,35,Grado o superior,Millennials,NÂO,1,NÃO,"$26.095,00","$2.174,58",loja física,4,2021-09-28,"$42,00",VINHO,,453,4,"$42,00",,1,1,1,1,Hibernando
4607,66,Grado o superior,Baby Boomers,SIM,0,NÃO,"$71.367,00","$5.947,25",loja física,11,2022-04-20,"$777,00",CARNES,,251,11,"$777,00",,1,3,3,3,Precisam de Atenção
3711,81,Posgrado,Pré-Boomers,SIM,0,NÃO,"$80.184,00","$6.682,00",loja física,16,2022-12-09,"$1.902,00",VINHO,,22,16,"$1.902,00",,4,4,4,4,Leais de Ouro
3696,60,Grado o superior,Geração X,NÂO,2,NÃO,"$30.630,00","$2.552,50",loja física,5,2022-05-26,"$52,00",VINHO,,215,5,"$52,00",,2,1,1,1,Hibernando
2532,38,Posgrado,Millennials,NÂO,0,NÃO,"$73.454,00","$6.121,17",loja física,8,2022-08-24,"$1.651,00",VINHO,,127,8,"$1.651,00",,3,2,4,3,Promissores
9214,34,Grado o superior,Millennials,SIM,0,NÃO,"$42.691,00","$3.557,58",loja física,11,2022-06-05,"$358,00",VINHO,,206,11,"$358,00",,2,3,2,"2,5",Precisam de Atenção
4943,72,Grado o superior,Baby Boomers,SIM,0,NÃO,"$70.503,00","$5.875,25",loja física,11,2021-07-31,"$1.727,00",VINHO,,510,11,"$1.727,00",,1,3,4,"3,5",Precisam de Atenção
35,38,Grado o superior,Millennials,SIM,1,SIM,"$25.545,00","$2.128,75",loja física,5,2022-02-08,"$210,00",OUTROS,,323,5,"$210,00",,1,1,2,"1,5",Hibernando
2258,39,Grado o superior,Millennials,SIM,1,NÃO,"$32.880,00","$2.740,00",loja física,4,2022-11-15,"$42,00",CARNES,,46,4,"$42,00",,4,1,1,1,Recém-Chegados
4322,67,Posgrado,Baby Boomers,SIM,0,NÃO,"$77.863,00","$6.488,58",loja física,14,2022-12-29,"$1.291,00",VINHO,,2,14,"$1.291,00",,4,3,4,"3,5",Leais de Ouro
713,48,Posgrado,Geração X,SIM,0,NÃO,"$50.353,00","$4.196,08",loja física,10,2022-12-17,"$442,00",CARNES,,14,10,"$442,00",,4,2,3,"2,5",Potenciais de Ouro
4702,61,Grado o superior,Baby Boomers,NÂO,0,NÃO,"$61.839,00","$5.153,25",loja online,8,2022-04-27,"$1.895,00",VINHO,,244,8,"$1.895,00",,1,2,4,3,Precisam de Atenção
3281,65,Posgrado,Baby Boomers,SIM,2,NÃO,"$49.154,00","$4.096,17",loja física,12,2022-11-07,"$411,00",VINHO,,54,12,"$411,00",,4,3,3,3,Potenciais de Ouro
702,50,Secundaria,Geração X,NÂO,1,NÃO,"$47.682,00","$3.973,50",loja física,12,2022-01-13,"$521,00",VINHO,,348,12,"$521,00",,1,3,3,3,Precisam de Atenção
2004,56,Grado o superior,Geração X,NÂO,1,NÃO,"$72.679,00","$6.056,58",loja física,9,2022-11-04,"$1.168,00",VINHO,,57,9,"$1.168,00",,3,2,4,3,Promissores
4769,48,Posgrado,Geração X,SIM,2,NÃO,"$57.954,00","$4.829,50",loja online,14,2022-12-24,"$493,00",VINHO,,7,14,"$493,00",,4,3,3,3,Potenciais de Ouro
4437,63,Grado o superior,Baby Boomers,SIM,2,NÃO,"$65.316,00","$5.443,00",loja física,8,2021-09-16,"$260,00",VINHO,,465,8,"$260,00",,1,2,2,2,Precisam de Atenção
8724,43,Grado o superior,Millennials,NÂO,1,NÃO,"$28.567,00","$2.380,58",loja física,5,2021-10-12,"$46,00",CARNES,,439,5,"$46,00",,1,1,1,1,Hibernando
10741,74,Posgrado,Baby Boomers,SIM,1,NÃO,"$47.352,00","$3.946,00",loja online,11,2022-09-25,"$319,00",VINHO,,96,11,"$319,00",,3,3,2,"2,5",Promissores
1991,58,Grado o superior,Geração X,SIM,1,NÃO,"$44.931,00","$3.744,25",loja física,5,2022-08-04,"$96,00",VINHO,,147,5,"$96,00",,2,1,2,"1,5",Hibernando
6931,58,Grado o superior,Geração X,NÂO,0,SIM,"$76.982,00","$6.415,17",loja online,12,2022-11-16,"$1.062,00",VINHO,,45,12,"$1.062,00",,4,3,4,"3,5",Leais de Ouro
11096,73,Secundaria,Baby Boomers,SIM,1,NÃO,"$57.247,00","$4.770,58",loja física,9,2022-07-27,"$232,00",VINHO,,154,9,"$232,00",,2,2,2,2,Precisam de Atenção
304,44,Posgrado,Millennials,NÂO,1,NÃO,"$22.944,00","$1.912,00",loja online,6,2022-12-16,"$76,00",OUTROS,,15,6,"$76,00",,4,2,2,2,Potenciais de Ouro
3665,48,Secundaria,Geração X,SIM,1,NÃO,"$25.315,00","$2.109,58",loja online,6,2022-12-22,"$54,00",OUTROS,,9,6,"$54,00",,4,2,1,"1,5",Recém-Chegados
10591,56,Grado o superior,Geração X,NÂO,1,NÃO,"$43.638,00","$3.636,50",loja online,8,2022-08-06,"$201,00",CARNES,,145,8,"$201,00",,2,2,2,2,Precisam de Atenção
5036,41,Posgrado,Millennials,NÂO,1,NÃO,"$42.710,00","$3.559,17",loja online,7,2022-08-28,"$406,00",VINHO,,123,7,"$406,00",,3,2,3,"2,5",Promissores
5547,43,Posgrado,Millennials,SIM,0,SIM,"$84.169,00","$7.014,08",loja online,13,2022-08-23,"$1.919,00",VINHO,,128,13,"$1.919,00",,3,3,4,"3,5",Promissores
7822,49,Grado o superior,Geração X,SIM,1,NÃO,"$54.058,00","$4.504,83",loja física,12,2022-11-06,"$662,00",CARNES,,55,12,"$662,00",,3,3,3,3,Promissores
8541,35,Secundaria,Millennials,SIM,1,NÃO,"$24.683,00","$2.056,92",loja física,6,2022-11-25,"$41,00",CARNES,,36,6,"$41,00",,4,2,1,"1,5",Recém-Chegados
10955,61,Grado o superior,Baby Boomers,NÂO,0,SIM,"$85.620,00","$7.135,00",loja física,7,2022-11-24,"$1.600,00",CARNES,,37,7,"$1.600,00",,4,2,4,3,Potenciais de Ouro
4368,45,Grado o superior,Geração X,SIM,1,NÃO,"$47.850,00","$3.987,50",loja física,7,2022-12-10,"$134,00",CARNES,,21,7,"$134,00",,4,2,2,2,Potenciais de Ouro
9671,57,Grado o superior,Geração X,SIM,2,SIM,"$19.514,00","$1.626,17",loja online,5,2022-12-11,"$69,00",OUTROS,,20,5,"$69,00",,4,1,1,1,Recém-Chegados
2256,52,Posgrado,Geração X,SIM,2,NÃO,"$27.159,00","$2.263,25",loja física,4,2022-06-30,"$21,00",VINHO,,180,4,"$21,00",,2,1,1,1,Hibernando
4279,62,Secundaria,Baby Boomers,NÂO,2,NÃO,"$39.548,00","$3.295,67",loja física,4,2022-04-20,"$54,00",OUTROS,,251,4,"$54,00",,1,1,1,1,Hibernando
5371,36,Grado o superior,Millennials,NÂO,1,SIM,"$21.474,00","$1.789,50",loja online,5,2022-08-08,"$91,00",OUTROS,,143,5,"$91,00",,2,1,2,"1,5",Hibernando
9240,54,Posgrado,Geração X,NÂO,1,NÃO,"$60.504,00","$5.042,00",loja física,14,2022-12-28,"$526,00",VINHO,,3,14,"$526,00",,4,3,3,3,Potenciais de Ouro
9460,62,Grado o superior,Baby Boomers,SIM,0,NÃO,"$22.419,00","$1.868,25",loja online,5,2022-02-19,"$162,00",CARNES,,312,5,"$162,00",,1,1,2,"1,5",Hibernando
9504,76,Posgrado,Baby Boomers,SIM,0,SIM,"$81.698,00","$6.808,17",loja física,16,2022-12-12,"$1.008,00",CARNES,,19,16,"$1.008,00",,4,4,3,"3,5",Leais de Ouro
8692,73,Grado o superior,Baby Boomers,SIM,2,NÃO,"$43.462,00","$3.621,83",loja física,9,2021-08-28,"$240,00",CARNES,,483,9,"$240,00",,1,2,2,2,Precisam de Atenção
448,47,Posgrado,Geração X,NÂO,1,NÃO,"$54.880,00","$4.573,33",loja física,17,2022-05-10,"$795,00",VINHO,,231,17,"$795,00",,2,4,3,"3,5",Precisam de Atenção
8314,43,Grado o superior,Millennials,SIM,0,NÃO,"$79.908,00","$6.659,00",loja física,12,2022-07-13,"$1.772,00",CARNES,,168,12,"$1.772,00",,2,3,4,"3,5",Precisam de Atenção
8420,55,Secundaria,Geração X,SIM,0,NÃO,"$15.315,00","$1.276,25",loja física,6,2022-05-16,"$64,00",OUTROS,,225,6,"$64,00",,2,2,1,"1,5",Hibernando
3174,66,Grado o superior,Baby Boomers,SIM,1,SIM,"$87.771,00","$7.314,25",loja online,9,2022-02-20,"$1.957,00",VINHO,,311,9,"$1.957,00",,1,2,4,3,Precisam de Atenção
7685,47,Grado o superior,Geração X,SIM,1,NÃO,"$33.039,00","$2.753,25",loja física,6,2021-12-29,"$78,00",VINHO,,362,6,"$78,00",,1,2,2,2,Precisam de Atenção
3179,45,Grado o superior,Geração X,NÂO,0,NÃO,"$81.741,00","$6.811,75",loja física,13,2022-09-11,"$1.572,00",CARNES,,110,13,"$1.572,00",,3,3,4,"3,5",Promissores
9780,54,Posgrado,Geração X,SIM,1,NÃO,"$71.499,00","$5.958,25",loja física,21,2022-08-22,"$795,00",VINHO,,129,21,"$795,00",,3,4,3,"3,5",Promissores
10681,55,Secundaria,Geração X,SIM,1,NÃO,"$62.466,00","$5.205,50",loja física,18,2022-12-24,"$889,00",CARNES,,7,18,"$889,00",,4,4,3,"3,5",Leais de Ouro
10232,62,Posgrado,Baby Boomers,NÂO,1,NÃO,"$48.799,00","$4.066,58",loja física,10,2022-11-23,"$331,00",VINHO,,38,10,"$331,00",,4,2,2,2,Potenciais de Ouro
4184,75,Posgrado,Baby Boomers,SIM,1,NÃO,"$52.157,00","$4.346,42",loja física,8,2022-12-04,"$265,00",VINHO,,27,8,"$265,00",,4,2,2,2,Potenciais de Ouro
9120,63,Grado o superior,Baby Boomers,NÂO,1,NÃO,"$66.565,00","$5.547,08",loja física,13,2022-04-01,"$1.065,00",VINHO,,270,13,"$1.065,00",,1,3,4,"3,5",Precisam de Atenção
891,74,Posgrado,Baby Boomers,SIM,2,NÃO,"$29.298,00","$2.441,50",loja física,3,2022-05-28,"$11,00",VINHO,,213,3,"$11,00",,2,1,1,1,Hibernando
10381,46,Grado o superior,Geração X,NÂO,1,NÃO,"$47.691,00","$3.974,25",loja física,3,2022-07-18,"$21,00",VINHO,,163,3,"$21,00",,2,1,1,1,Hibernando
3525,55,Grado o superior,Geração X,SIM,2,NÃO,"$38.200,00","$3.183,33",loja física,3,2022-07-12,"$17,00",VINHO,,169,3,"$17,00",,2,1,1,1,Hibernando
6818,51,Grado o superior,Geração X,SIM,1,NÃO,"$44.989,00","$3.749,08",loja online,10,2022-01-27,"$369,00",CARNES,,334,10,"$369,00",,1,2,2,2,Precisam de Atenção
3526,57,Posgrado,Geração X,SIM,2,NÃO,"$38.443,00","$3.203,58",loja física,4,2022-04-21,"$38,00",VINHO,,250,4,"$38,00",,1,1,1,1,Hibernando
8181,47,Secundaria,Geração X,NÂO,1,NÃO,"$38.593,00","$3.216,08",loja online,7,2022-06-07,"$177,00",VINHO,,204,7,"$177,00",,2,2,2,2,Precisam de Atenção
1029,55,Posgrado,Geração X,SIM,1,NÃO,"$64.413,00","$5.367,75",loja online,10,2022-10-20,"$279,00",VINHO,,71,10,"$279,00",,3,2,2,2,Promissores
7369,44,Posgrado,Millennials,SIM,1,NÃO,"$36.959,00","$3.079,92",loja física,5,2021-12-21,"$62,00",VINHO,,370,5,"$62,00",,1,1,1,1,Hibernando
2574,48,Posgrado,Geração X,SIM,1,SIM,"$61.996,00","$5.166,33",loja física,14,2022-06-19,"$1.230,00",VINHO,,192,14,"$1.230,00",,2,3,4,"3,5",Precisam de Atenção
